adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam2,original,20,25,0.9005050505050505,0.9454545454545454,0.650919610486314
reid,crossview_cam2,original,20,26,0.940625,0.9625,0.6845058832518378
reid,crossview_cam2,original,20,27,0.9220588235294118,0.9549019607843138,0.6169447417560686
reid,crossview_cam2,original,20,28,0.9122549019607843,0.9514705882352941,0.6245027044051678
reid,crossview_cam2,original,20,29,0.9344827586206896,0.9683908045977011,0.6896666752525468
reid,crossview_cam2,original,25,0,0.8638888888888889,0.9333333333333333,0.5764163123458215
reid,crossview_cam2,original,25,1,0.931981981981982,0.9563063063063063,0.6687929259501083
reid,crossview_cam2,original,25,2,0.8916666666666667,0.9425438596491228,0.6549315164513495
reid,crossview_cam2,original,25,3,0.8974358974358975,0.935042735042735,0.6424087971976854
reid,crossview_cam2,original,25,4,0.895,0.9429166666666666,0.6466727900952935
reid,crossview_cam2,original,25,5,0.8956349206349207,0.9551587301587302,0.6105218846545216
reid,crossview_cam2,original,25,6,0.8934959349593496,0.9459349593495935,0.6076171147363368
reid,crossview_cam2,original,25,7,0.8697368421052631,0.9491228070175438,0.6075834759060034
reid,crossview_cam2,original,25,8,0.885,0.9391666666666667,0.5874211817399281
reid,crossview_cam2,original,25,9,0.8771929824561403,0.9324561403508772,0.6287982540219921
reid,crossview_cam2,original,25,10,0.8886178861788618,0.9410569105691057,0.6036735410006889
reid,crossview_cam2,original,25,11,0.9162280701754386,0.9526315789473684,0.6568836341822945
reid,crossview_cam2,original,25,12,0.8741666666666666,0.9304166666666667,0.5979124880741524
reid,crossview_cam2,original,25,13,0.9058333333333334,0.9508333333333333,0.6074886384965962
reid,crossview_cam2,original,25,14,0.8616666666666667,0.92875,0.6333324592495105
reid,crossview_cam2,original,25,15,0.8841269841269841,0.9345238095238095,0.6114740207197383
reid,crossview_cam2,original,25,16,0.8699186991869918,0.9406504065040651,0.6074630312471728
reid,crossview_cam2,original,25,17,0.8984126984126984,0.95,0.6228473096015354
reid,crossview_cam2,original,25,18,0.8717948717948718,0.9307692307692308,0.5969787343327404
reid,crossview_cam2,original,25,19,0.8736842105263158,0.9293859649122806,0.6614524705447183
reid,crossview_cam2,original,25,20,0.8772357723577235,0.9345528455284553,0.6285789115950223
reid,crossview_cam2,original,25,21,0.8846153846153846,0.9376068376068376,0.6101887829534398
reid,crossview_cam2,original,25,22,0.8635135135135135,0.927027027027027,0.6455452515446736
reid,crossview_cam2,original,25,23,0.8854166666666666,0.93625,0.5935195875275766
reid,crossview_cam2,original,25,24,0.8863247863247863,0.9354700854700855,0.6032598713497145
reid,crossview_cam2,original,25,25,0.8869918699186992,0.9386178861788618,0.6094325490346715
reid,crossview_cam2,original,25,26,0.8793650793650793,0.9388888888888889,0.5928158513281535
reid,crossview_cam2,original,25,27,0.9158333333333334,0.9641666666666666,0.6256606827032549
reid,crossview_cam2,original,25,28,0.9009259259259259,0.9453703703703704,0.7070676978260955
reid,crossview_cam2,original,25,29,0.8932539682539683,0.9361111111111111,0.6303398603157983
reid,crossview_cam2,original,30,0,0.8914965986394557,0.9408163265306122,0.6032372184829724
reid,crossview_cam2,original,30,1,0.875177304964539,0.9312056737588652,0.6082829081396952
reid,crossview_cam2,original,30,2,0.8614583333333333,0.9173611111111111,0.5809439104137006
reid,crossview_cam2,original,30,3,0.8819148936170212,0.9439716312056737,0.6355970377704693
reid,crossview_cam2,original,30,4,0.8681159420289855,0.9300724637681159,0.6114113972461387
reid,crossview_cam2,original,30,5,0.8652482269503546,0.9336879432624113,0.5977510231698907
reid,crossview_cam2,original,30,6,0.8815602836879433,0.9358156028368795,0.6149518691370971
reid,crossview_cam2,original,30,7,0.8822463768115942,0.9405797101449276,0.6335267107977244
reid,crossview_cam2,original,30,8,0.880072463768116,0.9376811594202898,0.6232068317564637
reid,crossview_cam2,original,30,9,0.8781481481481481,0.94,0.6320213408049812
reid,crossview_cam2,original,30,10,0.8733333333333333,0.9340740740740741,0.6647200143190943
reid,crossview_cam2,original,30,11,0.8738562091503268,0.9372549019607843,0.5927873089254027
reid,crossview_cam2,original,30,12,0.9103333333333333,0.955,0.590430128206125
reid,crossview_cam2,original,30,13,0.8710144927536232,0.9289855072463769,0.6158986380446005
reid,crossview_cam2,original,30,14,0.8702127659574468,0.9280141843971631,0.6126542189873686
reid,crossview_cam2,original,30,15,0.8770833333333333,0.9274305555555555,0.607052697406259
reid,crossview_cam2,original,30,16,0.869927536231884,0.9304347826086956,0.611252942487612
reid,crossview_cam2,original,30,17,0.880072463768116,0.9322463768115942,0.6450579863494404
reid,crossview_cam2,original,30,18,0.8659259259259259,0.9281481481481482,0.6258273539605901
reid,crossview_cam2,original,30,19,0.8666666666666667,0.9282608695652174,0.6120100132824449
reid,crossview_cam2,original,30,20,0.9024822695035462,0.9453900709219858,0.6131448464696052
reid,crossview_cam2,original,30,21,0.8518115942028985,0.9148550724637681,0.6072035771624754
reid,crossview_cam2,original,30,22,0.890625,0.9361111111111111,0.6161105721936485
reid,crossview_cam2,original,30,23,0.8884353741496599,0.9319727891156463,0.6108917504660479
reid,crossview_cam2,original,30,24,0.9046099290780142,0.9475177304964539,0.6210533940682764
reid,crossview_cam2,original,30,25,0.9145390070921986,0.9556737588652482,0.6169962369386663
reid,crossview_cam2,original,30,26,0.9108843537414966,0.958843537414966,0.6119627033142995
reid,crossview_cam2,original,30,27,0.8492753623188406,0.9134057971014493,0.599675813217218
reid,crossview_cam2,original,30,28,0.8692592592592593,0.9296296296296296,0.6416815581617291
reid,crossview_cam2,original,30,29,0.8789855072463768,0.9322463768115942,0.6448011252641983
reid,crossview_cam2,original,38,0,0.8530555555555556,0.9216666666666666,0.5819553564978368
reid,crossview_cam3,original,5,0,0.9888888888888889,0.9907407407407407,0.8521030554456367
reid,crossview_cam3,original,5,1,0.8476190476190476,0.9523809523809523,0.7531672440683891
reid,crossview_cam3,original,5,2,0.9479166666666666,0.9875,0.7314868810303454
reid,crossview_cam3,original,5,3,0.9354166666666667,0.99375,0.8105481051049037
