method,split,action,feature_support,manifest_support,top1
deepprivacy2,test_original_c2r2,47,27,27,0.18518518518518517
deepprivacy2,test_original_c2r2,48,27,27,0.4074074074074074
deepprivacy2,test_original_c2r2,49,27,27,0.37037037037037035
deepprivacy2,test_original_c2r2,50,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,51,27,27,0.9259259259259259
deepprivacy2,test_original_c2r2,52,27,27,0.7037037037037037
deepprivacy2,test_original_c2r2,53,27,27,0.3333333333333333
deepprivacy2,test_original_c2r2,54,27,27,0.4074074074074074
deepprivacy2,test_original_c2r2,55,27,27,0.8518518518518519
deepprivacy2,test_original_c2r2,56,27,27,0.6666666666666666
deepprivacy2,test_original_c2r2,57,27,27,0.4074074074074074
deepprivacy2,test_original_c2r2,58,27,27,0.7777777777777778
deepprivacy2,test_original_c2r2,59,27,27,0.6666666666666666
deepprivacy2,test_original_c2r2,60,27,27,0.9629629629629629
deepprivacy2,test_original_c2r2,61,33,33,0.3939393939393939
deepprivacy2,test_original_c2r2,62,33,33,0.6666666666666666
deepprivacy2,test_original_c2r2,63,33,33,0.48484848484848486
deepprivacy2,test_original_c2r2,64,33,33,0.8484848484848485
deepprivacy2,test_original_c2r2,65,33,33,0.36363636363636365
deepprivacy2,test_original_c2r2,66,33,33,0.6363636363636364
deepprivacy2,test_original_c2r2,67,33,33,0.0
deepprivacy2,test_original_c2r2,68,33,33,0.30303030303030304
deepprivacy2,test_original_c2r2,69,33,33,0.0
deepprivacy2,test_original_c2r2,70,33,33,0.030303030303030304
deepprivacy2,test_original_c2r2,71,33,33,0.0
deepprivacy2,test_original_c2r2,72,33,33,0.06060606060606061
deepprivacy2,test_original_c2r2,73,33,33,0.09090909090909091
deepprivacy2,test_original_c2r2,74,33,33,0.3333333333333333
deepprivacy2,test_original_c2r2,75,33,33,0.0
deepprivacy2,test_original_c2r2,76,33,33,0.15151515151515152
deepprivacy2,test_original_c2r2,77,33,33,0.030303030303030304
deepprivacy2,test_original_c2r2,78,33,33,0.06060606060606061
deepprivacy2,test_original_c2r2,79,33,33,0.09090909090909091
deepprivacy2,test_original_c2r2,80,33,33,0.6666666666666666
deepprivacy2,test_original_c2r2,81,33,33,0.2727272727272727
deepprivacy2,test_original_c2r2,82,33,33,0.5757575757575758
deepprivacy2,test_original_c2r2,83,33,33,0.030303030303030304
deepprivacy2,test_original_c2r2,84,33,33,0.18181818181818182
deepprivacy2,test_original_c2r2,85,33,33,0.45454545454545453
deepprivacy2,test_original_c2r2,86,33,33,0.18181818181818182
deepprivacy2,test_original_c2r2,87,33,33,0.5757575757575758
deepprivacy2,test_original_c2r2,88,33,33,0.45454545454545453
